Date Added,URL,Price From,Price To,Image URL,Location,Area From,Area To,Description,Agency Name,Contact Phone,Contact Email,Creation Date,Update Date
2025-09-06T15:13:52.530Z,https://www.athome.lu/fr/vente/projet-neuf/residence/brooklyn-luxembourg/id-8258648.html,,,https://static.athome.lu/85/40/e7/4ed8a49e6d36b16a150ad8b3eec627d763b06686.jpg,"2-4 Aristides de Sousa Mendes, Luxembourg-Bonnevoie, 2185",,,"Vous souhaitez vous lancer dans un projet immobilier, que ce soit pour habiter ou pour investir ? Les deux premières résidences du nouveau quartier Brooklyn à Bonnevoie sont livrées en septembre. C'est une excellente opportunité, que vous cherchiez un lieu de vie moderne et lumineux ou un investissement avec un rendement attractif. Découvrez nos derniers appartements disponibles, conçus pour offrir confort et luminosité, avec de grandes baies vitrées et une généreuse hauteur sous plafond de 2,73 m.  Contactez-nous pour avoir plus d'informations sur ce remarquable projet, adapté à toutes vos ambitions !   Eagelstone, promoteur pan-Européen, est animé par le renouvellement responsable des villes Européennes via la création de lieux de vie agréables et fonctionnels. Eaglestone porte une attention particulière à la qualité architecturale de ses projets, leurs impacts sociétaux et environnementaux, et a coeur de toujours y intégrer une oeuvre d'art contemporaine. Pour Brooklyn, chaque résidence sera embellie d'une oeuvre de Samuel Lévy, jeune artiste plasticien, catalyseur d'énergies.",Eaglestone Luxembourg,+352 621 13 07 32,salesbrooklyn@eaglestone.lu,20240620T084812Z,2025-09-06T03:10:01
2025-09-06T15:13:56.019Z,https://www.athome.lu/fr/vente/projet-neuf/residence/brooklyn-luxembourg/id-8258648.html,,,https://static.athome.lu/85/40/e7/4ed8a49e6d36b16a150ad8b3eec627d763b06686.jpg,"2-4 Aristides de Sousa Mendes, Luxembourg-Bonnevoie, 2185",,,"Vous souhaitez vous lancer dans un projet immobilier, que ce soit pour habiter ou pour investir ? Les deux premières résidences du nouveau quartier Brooklyn à Bonnevoie sont livrées en septembre. C'est une excellente opportunité, que vous cherchiez un lieu de vie moderne et lumineux ou un investissement avec un rendement attractif. Découvrez nos derniers appartements disponibles, conçus pour offrir confort et luminosité, avec de grandes baies vitrées et une généreuse hauteur sous plafond de 2,73 m.  Contactez-nous pour avoir plus d'informations sur ce remarquable projet, adapté à toutes vos ambitions !   Eagelstone, promoteur pan-Européen, est animé par le renouvellement responsable des villes Européennes via la création de lieux de vie agréables et fonctionnels. Eaglestone porte une attention particulière à la qualité architecturale de ses projets, leurs impacts sociétaux et environnementaux, et a coeur de toujours y intégrer une oeuvre d'art contemporaine. Pour Brooklyn, chaque résidence sera embellie d'une oeuvre de Samuel Lévy, jeune artiste plasticien, catalyseur d'énergies.",Eaglestone Luxembourg,+352 621 13 07 32,salesbrooklyn@eaglestone.lu,20240620T084812Z,2025-09-06T03:10:01
2025-09-06T15:13:59.394Z,https://www.athome.lu/vente/projet-neuf/residence/brooklyn-luxembourg/id-8258648.html,,,https://static.athome.lu/85/40/e7/4ed8a49e6d36b16a150ad8b3eec627d763b06686.jpg,"2-4 Aristides de Sousa Mendes, Luxembourg-Bonnevoie, 2185",,,"Vous souhaitez vous lancer dans un projet immobilier, que ce soit pour habiter ou pour investir ? Les deux premières résidences du nouveau quartier Brooklyn à Bonnevoie sont livrées en septembre. C'est une excellente opportunité, que vous cherchiez un lieu de vie moderne et lumineux ou un investissement avec un rendement attractif. Découvrez nos derniers appartements disponibles, conçus pour offrir confort et luminosité, avec de grandes baies vitrées et une généreuse hauteur sous plafond de 2,73 m.  Contactez-nous pour avoir plus d'informations sur ce remarquable projet, adapté à toutes vos ambitions !   Eagelstone, promoteur pan-Européen, est animé par le renouvellement responsable des villes Européennes via la création de lieux de vie agréables et fonctionnels. Eaglestone porte une attention particulière à la qualité architecturale de ses projets, leurs impacts sociétaux et environnementaux, et a coeur de toujours y intégrer une oeuvre d'art contemporaine. Pour Brooklyn, chaque résidence sera embellie d'une oeuvre de Samuel Lévy, jeune artiste plasticien, catalyseur d'énergies.",Eaglestone Luxembourg,+352 621 13 07 32,salesbrooklyn@eaglestone.lu,20240620T084812Z,2025-09-06T03:10:01
2025-09-06T15:14:02.586Z,https://www.athome.lu/vente/projet-neuf/residence/brooklyn-luxembourg/id-8258648.html,,,https://static.athome.lu/85/40/e7/4ed8a49e6d36b16a150ad8b3eec627d763b06686.jpg,"2-4 Aristides de Sousa Mendes, Luxembourg-Bonnevoie, 2185",,,"Vous souhaitez vous lancer dans un projet immobilier, que ce soit pour habiter ou pour investir ? Les deux premières résidences du nouveau quartier Brooklyn à Bonnevoie sont livrées en septembre. C'est une excellente opportunité, que vous cherchiez un lieu de vie moderne et lumineux ou un investissement avec un rendement attractif. Découvrez nos derniers appartements disponibles, conçus pour offrir confort et luminosité, avec de grandes baies vitrées et une généreuse hauteur sous plafond de 2,73 m.  Contactez-nous pour avoir plus d'informations sur ce remarquable projet, adapté à toutes vos ambitions !   Eagelstone, promoteur pan-Européen, est animé par le renouvellement responsable des villes Européennes via la création de lieux de vie agréables et fonctionnels. Eaglestone porte une attention particulière à la qualité architecturale de ses projets, leurs impacts sociétaux et environnementaux, et a coeur de toujours y intégrer une oeuvre d'art contemporaine. Pour Brooklyn, chaque résidence sera embellie d'une oeuvre de Samuel Lévy, jeune artiste plasticien, catalyseur d'énergies.",Eaglestone Luxembourg,+352 621 13 07 32,salesbrooklyn@eaglestone.lu,20240620T084812Z,2025-09-06T03:10:01
2025-09-06T15:14:05.945Z,https://www.athome.lu/vente/projet-neuf/residence/brooklyn-luxembourg/id-8258648.html,,,https://static.athome.lu/85/40/e7/4ed8a49e6d36b16a150ad8b3eec627d763b06686.jpg,"2-4 Aristides de Sousa Mendes, Luxembourg-Bonnevoie, 2185",,,"Vous souhaitez vous lancer dans un projet immobilier, que ce soit pour habiter ou pour investir ? Les deux premières résidences du nouveau quartier Brooklyn à Bonnevoie sont livrées en septembre. C'est une excellente opportunité, que vous cherchiez un lieu de vie moderne et lumineux ou un investissement avec un rendement attractif. Découvrez nos derniers appartements disponibles, conçus pour offrir confort et luminosité, avec de grandes baies vitrées et une généreuse hauteur sous plafond de 2,73 m.  Contactez-nous pour avoir plus d'informations sur ce remarquable projet, adapté à toutes vos ambitions !   Eagelstone, promoteur pan-Européen, est animé par le renouvellement responsable des villes Européennes via la création de lieux de vie agréables et fonctionnels. Eaglestone porte une attention particulière à la qualité architecturale de ses projets, leurs impacts sociétaux et environnementaux, et a coeur de toujours y intégrer une oeuvre d'art contemporaine. Pour Brooklyn, chaque résidence sera embellie d'une oeuvre de Samuel Lévy, jeune artiste plasticien, catalyseur d'énergies.",Eaglestone Luxembourg,+352 621 13 07 32,salesbrooklyn@eaglestone.lu,20240620T084812Z,2025-09-06T03:10:01
2025-09-06T15:14:09.268Z,https://www.athome.lu/vente/garage-parking/luxembourg/id-8259686.html,60000,,https://static.athome.lu/66/80/e7/8200e0a26b4075563b6136e445e67e8d53758632.jpg,"2-4 Aristides de Sousa Mendes, Luxembourg-Bonnevoie, 2185",12,,"À vendre : Parkings disponibles dans les résidences B1 et B2 du nouveau quartier Brooklyn à Bonnevoie !  Nous avons le plaisir de vous annoncer que des parkings sont à vendre au sein des résidences B1 et B2, situées dans le tout nouveau quartier Brooklyn à Bonnevoie. Ces espaces de stationnement seront disponibles à partir de septembre 2025.  Ne manquez pas cette opportunité d'acquérir un parking dans un cadre moderne et agréable. Pour plus d'informations, n'hésitez pas à nous contacter !",Eaglestone Luxembourg,+352 621 13 07 32,salesbrooklyn@eaglestone.lu,20240621T142935Z,2025-09-02T14:24:03
2025-09-06T15:14:12.603Z,https://www.athome.lu/fr/vente/terrain/kehmen/id-8714727.html,325500,,https://static.athome.lu/7e/9f/48/3334d97bfd560a995bc9fe13e11e38e97c22e6b6.jpg,"Haaptstrooss, Kehmen",4.65,,"Opportunité Exceptionnelle à Ne Pas Manquer !   Home Project SA vous propose une magnifique place à bâtir de 4,65 ares (lot n°3) pour la construction d'une maison unifamiliale isolée.  Atouts principaux :  * Orientation plein sud : Profitez d'une luminosité optimale toute la journée ! * Terrain proposé avec ou sans contrat de construction, selon vos préférences. * Emplacement de choix dans un cadre paisible et résidentiel. Construisez la maison de vos rêves sur ce terrain idéalement situé !  Außergewöhnliche Gelegenheit, die Sie nicht verpassen sollten!   Home Project SA bietet Ihnen ein wunderschönes Baugrundstück von 6,46 Ar (Los Nr. 2) für den Bau eines isolierten Einfamilienhauses an.  Hauptvorteile :  * Südausrichtung: Genießen Sie den ganzen Tag über optimale Lichtverhältnisse! * Grundstück wird mit oder ohne Bauvertrag angeboten, je nach Ihren Vorlieben. * Erstklassige Lage in einer friedlichen Wohngegend. Bauen Sie Ihr Traumhaus auf diesem ideal gelegenen Grundstück!  An exceptional opportunity not to be missed!   Home Project SA offers you a magnificent building plot of 6.46 ares (lot n°2) for the construction of a detached single-family home.  Main assets:  * South-facing: Enjoy optimum light all day long! * Land available with or without a building contract, depending on your preferences. * Prime location in a peaceful residential setting. Build the home of your dreams on this ideally located plot!",HOME PROJECT S.A.,+35227861657,info@home-project.lu,20250728T113005Z,2025-08-20T15:31:11
2025-09-06T15:14:15.913Z,https://www.athome.lu/fr/vente/terrain/kehmen/id-8714727.html,325500,,https://static.athome.lu/7e/9f/48/3334d97bfd560a995bc9fe13e11e38e97c22e6b6.jpg,"Haaptstrooss, Kehmen",4.65,,"Opportunité Exceptionnelle à Ne Pas Manquer !   Home Project SA vous propose une magnifique place à bâtir de 4,65 ares (lot n°3) pour la construction d'une maison unifamiliale isolée.  Atouts principaux :  * Orientation plein sud : Profitez d'une luminosité optimale toute la journée ! * Terrain proposé avec ou sans contrat de construction, selon vos préférences. * Emplacement de choix dans un cadre paisible et résidentiel. Construisez la maison de vos rêves sur ce terrain idéalement situé !  Außergewöhnliche Gelegenheit, die Sie nicht verpassen sollten!   Home Project SA bietet Ihnen ein wunderschönes Baugrundstück von 6,46 Ar (Los Nr. 2) für den Bau eines isolierten Einfamilienhauses an.  Hauptvorteile :  * Südausrichtung: Genießen Sie den ganzen Tag über optimale Lichtverhältnisse! * Grundstück wird mit oder ohne Bauvertrag angeboten, je nach Ihren Vorlieben. * Erstklassige Lage in einer friedlichen Wohngegend. Bauen Sie Ihr Traumhaus auf diesem ideal gelegenen Grundstück!  An exceptional opportunity not to be missed!   Home Project SA offers you a magnificent building plot of 6.46 ares (lot n°2) for the construction of a detached single-family home.  Main assets:  * South-facing: Enjoy optimum light all day long! * Land available with or without a building contract, depending on your preferences. * Prime location in a peaceful residential setting. Build the home of your dreams on this ideally located plot!",HOME PROJECT S.A.,+35227861657,info@home-project.lu,20250728T113005Z,2025-08-20T15:31:11
2025-09-06T15:14:19.331Z,https://www.athome.lu/fr/vente/garage-parking/senningerberg/id-8147629.html,37000,,https://static.athome.lu/da/25/c7/4ec9969fd93786b887ff90399aaef38450670073.jpg,"49 Route de Trèves, Senningerberg, 2633",18,,"Parking dans le garage souterrain d'une résidence moderne  Le parking est situé au dernier étage d'un garage souterrain. Il est activé par un système élévateur, car 2 véhicules peuvent y être stationnés l'un au-dessus de l'autre. Le prix est valable pour un parking.  Le bâtiment est situé sur la route principale ""route de Trèves"" à Senningerberg, en face de la station-service ESSO, donc très bien desservi, directement à la sortie d'autoroute Trier/Luxembourg et de l'aéroport, à seulement quelques kilomètres de Kirchberg. La nouvelle station de tram est à quelques minutes à pied. De plus, il y a de très bonnes liaisons de bus vers Kirchberg, l'aéroport et la ville de Luxembourg.",Tradition Immobilière Sà.r.l.,+35223677157,tradimmo@pt.lu,20240228T142851Z,2025-08-23T13:27:33
2025-09-06T15:14:22.604Z,https://www.athome.lu/fr/vente/garage-parking/senningerberg/id-8147629.html,37000,,https://static.athome.lu/da/25/c7/4ec9969fd93786b887ff90399aaef38450670073.jpg,"49 Route de Trèves, Senningerberg, 2633",18,,"Parking dans le garage souterrain d'une résidence moderne  Le parking est situé au dernier étage d'un garage souterrain. Il est activé par un système élévateur, car 2 véhicules peuvent y être stationnés l'un au-dessus de l'autre. Le prix est valable pour un parking.  Le bâtiment est situé sur la route principale ""route de Trèves"" à Senningerberg, en face de la station-service ESSO, donc très bien desservi, directement à la sortie d'autoroute Trier/Luxembourg et de l'aéroport, à seulement quelques kilomètres de Kirchberg. La nouvelle station de tram est à quelques minutes à pied. De plus, il y a de très bonnes liaisons de bus vers Kirchberg, l'aéroport et la ville de Luxembourg.",Tradition Immobilière Sà.r.l.,+35223677157,tradimmo@pt.lu,20240228T142851Z,2025-08-23T13:27:33
