URL,Price From,Price To,Image URL,Location,Area From,Area To,Description,Agency Name,Contact Phone,Contact Email
https://www.athome.lu/vente/maison,1159962,1365029,https://i1.static.athome.eu/images/annonces2/image_//54/f1/48/755577204e6c449a6acf79cf372058ef41ca6ccb.jpg,Mondercange,,,"nouveau à Luxembourg , plus de 350 maisons et plans disponibles, à partir de 300.000€ clef en main TEL: 621188 126",,235120320692,callback@creahaus.lu
https://www.athome.lu/vente/appartement,698914,999278,https://i1.static.athome.eu/images/annonces2/image_//14/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,,,"nouveau à Luxembourg , plus de 350 maisons et plans disponibles, à partir de 300.000€ clef en main TEL: 621188 126",,235120320692,callback@creahaus.lu
https://www.athome.lu/vente/projet-neuf,698914,999278,https://i1.static.athome.eu/images/annonces2/image_//14/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,,,,,235120320692,callback@creahaus.lu
https://www.athome.lu/vente/maison-a-construire,980000,,https://i1.static.athome.eu/images/annonces2/image_//19/77/18/1bb0f9819c11e134acb967efd8318695bb95ba44.jpg,Pétange,,,PROCHAINEMENT UN PROJET CIALUX DANS VOTRE SECTEUR,,235120320692,info@accord-immo.lu
https://www.athome.lu/vente/immeuble-de-rapport,598000,,https://i1.static.athome.eu/images/annonces2/image_//46/f5/58/25de7337c9d75b3e4e5b854984b9d964267c9f2d.jpg,Thionville (FR),,,"nouveau à Luxembourg , plus de 350 maisons et plans disponibles, à partir de 300.000€ clef en main TEL: 621188 126",,235120320692,immodm57@gmail.com
https://www.athome.lu/vente/terrain,325500,,https://i1.static.athome.eu/images/annonces2/image_//2a/5f/e7/ea0fdc0b957a9347af5ddb6acfc004d5bf67e703.jpg,Kehmen,,,,,235120320692,info@home-project.lu
https://www.athome.lu/vente/garage-parking,45000,,https://i1.static.athome.eu/images/annonces2/image_//2f/c0/07/9b042755ab48760ba3e2f35118281488fdd144c5.jpg,Strassen,,,"nouveau à Luxembourg , plus de 350 maisons et plans disponibles, à partir de 300.000€ clef en main TEL: 621188 126",,235120320692,nsales@bpi-realestate.com
https://www.athome.lu/vente/bureau,496188,1726206,https://i1.static.athome.eu/images/annonces2/image_//06/da/28/731486c7876523a37e6152722b6f737e9fc38698.jpg,Mamer,,,"nouveau à Luxembourg , plus de 350 maisons et plans disponibles, à partir de 300.000€ clef en main TEL: 621188 126",,235120320692,contact@hd33.lu
https://www.athome.lu/vente/commerce,496188,1726206,https://i1.static.athome.eu/images/annonces2/image_//06/da/28/731486c7876523a37e6152722b6f737e9fc38698.jpg,Mamer,,,Trois décennies de savoir-faire nous permettent de satisfaire toutes vos exigences dans le domaine de l'immobilier.,,235120320692,contact@hd33.lu
https://www.athome.lu/vente/appartement/studio,440600,1415000,https://i1.static.athome.eu/images/annonces2/image_//01/74/38/0ef1612b6eda2b5bb84f6aae81a1f6bd78cb2b4b.jpg,Luxembourg-Centre ville,,,"nouveau à Luxembourg , plus de 350 maisons et plans disponibles, à partir de 300.000€ clef en main TEL: 621188 126",,235120320692,ken-konrath@konrath.com
https://www.athome.lu/vente/projet-neuf/lotissement,1159962,1365029,https://i1.static.athome.eu/images/annonces2/image_//54/f1/48/755577204e6c449a6acf79cf372058ef41ca6ccb.jpg,Mondercange,,,"Confiez-le à une équipe engagée et professionnelle, prête à bâtir avec vous le succès de demain.",,235120320692,callback@creahaus.lu
https://www.athome.lu/vente/maison-a-construire/modele-de-maison,,,,,,,,,235120320692,
https://www.athome.lu/vente/projet-neuf/programme-neuf,,,,,,,,,235120320692,
https://www.athome.lu/vente/projet-neuf/residence/residence-valeria-luxembourg/id-8659009.html,698914,999278,https://i1.static.athome.eu/images/annonces2/image_/14/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,80,,"DescriptionDécouvrez le nouveau projet résidence VALERIA ! Un cadre de vie d'exception au Kirchberg à deux minutes à pied de la BEI Située dans le quartier prisé du Val des Bons Malades à Luxembourg-Kirchberg, la résidence Valeria est un nouveau projet résidentiel haut de gamme alliant confort, modernité et accessibilité. Composée de 7 blocs de 3 appartements chacun, elle propose des logements de 52m2 à 80m2 avec 1 à 2 chambres, terrasse, cave privative et pour la plupart, un emplacement de parking fermé. Conçue pour offrir un cadre de vie optimal, Valeria bénéficie d'un emplacement privilégié entourée de verdure avec la vallée Pfaffenthal à proximité immédiate tout en étant proche des institutions européennes, centres commerciaux, transports en commun et des axes autoroutiers. Ce projet allie tranquillité résidentielle et dynamisme urbain, dans un environnement moderne, durable et en pleine expansion. Prix de vente annoncé TTC 3% sous réserve d'acceptation de la part de l'administration de l'enregistrement. Pour plus d'informations, contactez-nous ! www.creahaus.luVoir toutDemander plus d'infosRéf atHome 8659009Réf Agence Valeria",CREAHAUS S.A.,129223330586581,support@athome.lu
https://www.athome.lu/vente/appartement/luxembourg/id-8659021.html,772240,,https://i1.static.athome.eu/images/annonces2/image_/d4/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,61,,"DescriptionCe bien se trouve dans cette RésidenceSitué au 3ème et dernier étage de la Résidence VALERIA, ce bel appartement fonctionnel et lumineux se compose d’un hall d’entrée, d’un séjour/salle à manger donnant accès sur une agréable terrasse orientée sud-est, une chambre, une salle de douche et un débarras. Le bien dispose également d'une cave privative. Finitions soignées et matériaux de qualité pour un cadre de vie alliant standing, confort et modernité, dans un environnement résidentiel paisible à deux pas du dynamisme urbain. Résidence Valeria, l’équilibre parfait entre nature, confort et vie citadine.Demander plus d'infosRéf atHome 8659021Réf Agence Valeria_C3",CREAHAUS S.A.,129223330586581,support@athome.lu
https://www.athome.lu/vente/appartement/luxembourg/id-8659025.html,998786,,https://i1.static.athome.eu/images/annonces2/image_/15/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,80,,"DescriptionCe bien se trouve dans cette RésidenceSitué au 2ème étage de la Résidence VALERIA, ce bel appartement fonctionnel et lumineux se compose d’un hall d’entrée, d’un séjour/salle à manger donnant accès sur une agréable terrasse orientée sud-est, deux chambres et une salle de douche. Le bien dispose également d'un emplacement de parking intérieur et d'une cave privative. Finitions soignées et matériaux de qualité pour un cadre de vie alliant standing, confort et modernité, dans un environnement résidentiel paisible à deux pas du dynamisme urbain. Résidence Valeria, l’équilibre parfait entre nature, confort et vie citadine.Demander plus d'infosRéf atHome 8659025Réf Agence Valeria_C2",CREAHAUS S.A.,129223330586581,support@athome.lu
https://www.athome.lu/vente/appartement/luxembourg/id-8659027.html,999278,,https://i1.static.athome.eu/images/annonces2/image_/35/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,80,,"DescriptionCe bien se trouve dans cette RésidenceSitué au 1er étage de la Résidence VALERIA, ce bel appartement fonctionnel et lumineux se compose d’un hall d’entrée, d’un séjour/salle à manger donnant accès sur une agréable terrasse orientée sud-est, deux chambres et une salle de douche. Le bien dispose également d'un emplacement de parking intérieur et d'une cave privative. Finitions soignées et matériaux de qualité pour un cadre de vie alliant standing, confort et modernité, dans un environnement résidentiel paisible à deux pas du dynamisme urbain. Résidence Valeria, l’équilibre parfait entre nature, confort et vie citadine.Demander plus d'infosRéf atHome 8659027Réf Agence Valeria_C1",CREAHAUS S.A.,129223330586581,support@athome.lu
https://www.athome.lu/vente/appartement/luxembourg/id-8659024.html,998786,,https://i1.static.athome.eu/images/annonces2/image_/05/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,80,,"DescriptionCe bien se trouve dans cette RésidenceSitué au 2ème étage de la Résidence VALERIA, ce bel appartement fonctionnel et lumineux se compose d’un hall d’entrée, d’un séjour/salle à manger donnant accès sur une agréable terrasse orientée sud-est, deux chambres et une salle de douche. Le bien dispose également d'un parking intérieur et d'une cave privative. Finitions soignées et matériaux de qualité pour un cadre de vie alliant standing, confort et modernité, dans un environnement résidentiel paisible à deux pas du dynamisme urbain. Résidence Valeria, l’équilibre parfait entre nature, confort et vie citadine.Demander plus d'infosRéf atHome 8659024Réf Agence Valeria_B2",CREAHAUS S.A.,129223330586581,support@athome.lu
https://www.athome.lu/vente/appartement/luxembourg/id-8659020.html,772240,,https://i1.static.athome.eu/images/annonces2/image_/c4/02/48/3c688d374f6f1ee601a26396600fe6fb0b264002.jpg,Luxembourg-Kirchberg,61,,"DescriptionCe bien se trouve dans cette RésidenceSitué au 3ème et dernier étage de la Résidence VALERIA, ce bel appartement fonctionnel et lumineux se compose d’un hall d’entrée, d’un séjour/salle à manger donnant accès sur une agréable terrasse orientée sud-est, une chambre, une salle de douche et un débarras. Le bien dispose également d'une cave privative. Finitions soignées et matériaux de qualité pour un cadre de vie alliant standing, confort et modernité, dans un environnement résidentiel paisible à deux pas du dynamisme urbain. Résidence Valeria, l’équilibre parfait entre nature, confort et vie citadine.Demander plus d'infosRéf atHome 8659020Réf Agence Valeria_B3",CREAHAUS S.A.,129223330586581,support@athome.lu
https://www.athome.lu/vente/projet-neuf/residence/fort-wedell-luxembourg/id-8160521.html,850697,992914,https://i1.static.athome.eu/images/annonces2/image_/90/58/c7/647ccbabc30654504618293d3913e9b19fdc9d06.png,Luxembourg-Gare,87,,"Description*** CONSTRUCTION EN COURS**** BGS INVEST a le plaisir de vous présenter ""FORT WEDELL"", sa magnifique résidence en VEFA à Luxembourg-Gare. Située au coeur d'un quartier en plein renouveau, « Fort Wedell » bénéficie d'une localisation exceptionnelle. À seulement 2 minutes à pied de la gare centrale, elle offre un accès facile et rapide à tous les transports en commun. Vous y trouverez également une multitude de commerces accessibles à pied et pourrez profiter facilement des activités de la ville. Emplacement idéal pour profession libérale et investisseurs ! La construction, la conception architecturale, la finition de qualité ainsi que l'isolation thermique et phonique garantissent un cadre de vie moderne et fonctionnel. La résidence est classée label énergétique « A+» avec un objectif double : une réduction significative des charges et une réduction de l'impact du bâtiment sur l'environnement. 19 biens disponibles comme suit : 5 Studios 12 Apartments 2 Penthouses surfaces de 32 à 87 m² ***PRIX FIXES SANS INDEXATION*** de 399.000,00 € à 993.000,00 € TTC (TVA 3%) La résidence se compose comme suit : 2 sous-sols ou se trouvent les locaux vélos, poubelles, nettoyage, technique ainsi que 12 emplacements voitures et 8 caves privatives. Au rez de chaussée : un appartement de 2 chambres avec véranda, terrasse et jardin, et un appartement 1 chambre avec terrasse. Du 1er au 5ème étage se trouvent sur chaque palier deux appartements de 2 chambres, terrasses, balcons et loggias, ainsi qu'un studio. Au sixième étage se trouvent deux magnifiques penthouses de deux chambres, avec terrasse et loggia, et une hauteur sous plafond de 3 mètres Place de parking disponible à partir de 50.000 € HTVA Pour tout complément d'information merci de contacter notre équipe commerciale : BG PROMOTION Tel.: +352 26 31 00 67 Email: ventes@bgpromotion.lu ************************************************************** ***UNDER CONSTRUCTION*** BGS INVEST is delighted to present ""FORT WEDELL,"" our magnificent new off-plan residential development (VEFA) in Luxembourg-Gare. Located in a vibrant and revitalized neighborhood, ""Fort Wedell"" boasts an exceptional location. Just a 2-minute walk from the central train station, it offers easy and quick access to all public transport. You will also find a multitude of shops within walking distance and can easily enjoy the city's activities. This location is ideal for professionals and investors! The construction, architectural design, high-quality finishes, as well as thermal and sound insulation, ensure a modern and functional living environment. The residence is classified with the ""A+"" energy label, aiming to significantly reduce costs and minimize the building's environmental impact. Available Units: 5 Studios 12 Apartments 2 Penthouses Ranging from 32 to 87 m² Pricing: Fixed prices without indexation, from €399,000 to €993,000 VAT included (3% VAT). Residence Features: Basements: 2 levels with bike rooms, garbage rooms, cleaning and technical rooms, 12 car parking spaces, and 8 private storage units. Ground Floor: One 2-bedroom apartment with a veranda, terrace, and garden, and one 1-bedroom apartment with a terrace. Floors 1 to 5: Each floor has two 2-bedroom apartments with terraces, balconies, and loggias, as well as one studio. On the sixth floor, there are two beautiful penthouses with two bedrooms, a terrace, and a loggia, and a ceiling height of 3 meters Parking: Available from €50,000 excluding VAT. ""FORT WEDELL"" represents modernity, comfort, and elegance, offering an exceptional lifestyle in the heart of Luxembourg City. Its prime location provides easy access to all points of interest, just steps away from the central train station, tramway, and main highways. Proximity to shops, restaurants, and all city amenities ensures a vibrant urban living experience. For further information, please contact our sales team: BG PROMOTION Tel.: +352 26 31 00 67 Email: ventes@bgpromotion.luVoir toutDemander plus d'infosRéf atHome 8160521",BG Promotion SARL,+352 26 31 00 67,ventes@bgpromotion.lu
https://www.athome.lu/vente/appartement/luxembourg/id-8701061.html,983854,,https://i1.static.athome.eu/images/annonces2/image_/58/4c/48/647ccbabc30654504618293d3913e9b19fdc9d06.png,Luxembourg-Gare,87,,"DescriptionCe bien se trouve dans cette Résidence*** CONSTRUCTION EN COURS**** BGS INVEST a le plaisir de vous présenter ""FORT WEDELL"", sa magnifique résidence en VEFA à Luxembourg-Gare. Située au coeur d'un quartier en plein renouveau, « Fort Wedell » bénéficie d'une localisation exceptionnelle. À seulement 2 minutes à pied de la gare centrale, elle offre un accès facile et rapide à tous les transports en commun. Vous y trouverez également une multitude de commerces accessibles à pied et pourrez profiter facilement des activités de la ville. Emplacement idéal pour profession libérale et investisseurs ! La construction, la conception architecturale, la finition de qualité ainsi que l'isolation thermique et phonique garantissent un cadre de vie moderne et fonctionnel. La résidence est classée label énergétique « A+» avec un objectif double : une réduction significative des charges et une réduction de l'impact du bâtiment sur l'environnement. 19 biens disponibles comme suit : 5 Studios 12 Apartments 2 Penthouses surfaces de 32 à 87 m² ***PRIX FIXES SANS INDEXATION*** de 399.000,00 € à 993.000,00 € TTC (TVA 3%) La résidence se compose comme suit : 2 sous-sols ou se trouvent les locaux vélos, poubelles, nettoyage, technique ainsi que 12 emplacements voitures et 8 caves privatives. Au rez de chaussée : un appartement de 2 chambres avec véranda, terrasse et jardin, et un appartement 1 chambre avec terrasse. Du 1er au 5ème étage se trouvent sur chaque palier deux appartements de 2 chambres, terrasses, balcons et loggias, ainsi qu'un studio. Au sixième étage se trouvent deux magnifiques penthouses de deux chambres, avec terrasse et loggia, et une hauteur sous plafond de 3 mètres Place de parking disponible à partir de 50.000 € HTVA Pour tout complément d'information merci de contacter notre équipe commerciale : BG PROMOTION Tel.: +352 26 31 00 67 Email: ventes@bgpromotion.lu ************************************************************** ***UNDER CONSTRUCTION*** BGS INVEST is delighted to present ""FORT WEDELL,"" our magnificent new off-plan residential development (VEFA) in Luxembourg-Gare. Located in a vibrant and revitalized neighborhood, ""Fort Wedell"" boasts an exceptional location. Just a 2-minute walk from the central train station, it offers easy and quick access to all public transport. You will also find a multitude of shops within walking distance and can easily enjoy the city's activities. This location is ideal for professionals and investors! The construction, architectural design, high-quality finishes, as well as thermal and sound insulation, ensure a modern and functional living environment. The residence is classified with the ""A+"" energy label, aiming to significantly reduce costs and minimize the building's environmental impact. Available Units: 5 Studios 12 Apartments 2 Penthouses Ranging from 32 to 87 m² Pricing: Fixed prices without indexation, from €399,000 to €993,000 VAT included (3% VAT). Residence Features: Basements: 2 levels with bike rooms, garbage rooms, cleaning and technical rooms, 12 car parking spaces, and 8 private storage units. Ground Floor: One 2-bedroom apartment with a veranda, terrace, and garden, and one 1-bedroom apartment with a terrace. Floors 1 to 5: Each floor has two 2-bedroom apartments with terraces, balconies, and loggias, as well as one studio. On the sixth floor, there are two beautiful penthouses with two bedrooms, a terrace, and a loggia, and a ceiling height of 3 meters Parking: Available from €50,000 excluding VAT. ""FORT WEDELL"" represents modernity, comfort, and elegance, offering an exceptional lifestyle in the heart of Luxembourg City. Its prime location provides easy access to all points of interest, just steps away from the central train station, tramway, and main highways. Proximity to shops, restaurants, and all city amenities ensures a vibrant urban living experience. For further information, please contact our sales team: BG PROMOTION Tel.: +352 26 31 00 67 Email: ventes@bgpromotion.luVoir toutDemander plus d'infosRéf atHome 8701061",BG Promotion SARL,Ligne téléphoniqueOui,ventes@bgpromotion.lu
